sizes,p1_difficult,p2_difficult,p1_algorithm,p2_algorithm,p1_evaluation,p2_evaluation,player_winner,total_plays,total_time,p1_medium_time_play,p1_medium_time_play_catch,p2_medium_time_play,p2_medium_time_play_catch
5,5,5,Minimax,Minimax,2,5,Player 2,34,19.919923782348633,1.17719520222057,0.02607878049214681,0.8458028733730316,0.02085292339324951
5,5,5,Minimax,Minimax,3,5,Player 2,34,19.657919883728027,1.1690503033724697,0.031000614166259766,0.8245631456375122,0.018143256505330402
5,5,5,Minimax,Minimax,3,5,Player 2,40,27.921804904937744,0.9865413374370999,0.06260347366333008,0.816966692606608,0.04240335736955915
5,2,2,Minimax,Minimax,2,2,Player 2,28,0.33681178092956543,0.03575364748636881,0.002603332201639811,0.018228864669799803,0.0
5,2,2,Minimax,Minimax,1,2,Player 2,32,0.3992276191711426,0.024443652894761827,0.0017513434092203777,0.023385933467320034,0.0004906654357910156
5,2,2,Minimax,Minimax,2,2,Player 2,28,0.33139681816101074,0.03367296854654948,0.00390017032623291,0.02119159698486328,0.0
5,100,500,Montecarlo,Montecarlo,NA,500,Player 2,26,18.801371097564697,0.28153547644615173,0.3300568262736003,1.766968011856079,0.8624833424886068
5,100,500,Montecarlo,Montecarlo,NA,500,Player 2,30,19.710829734802246,0.2880633407168918,0.26227641105651855,1.5332766260419572,0.7134382327397665
5,500,100,Montecarlo,Montecarlo,NA,100,Player 1,29,23.835099458694458,1.8525560696919758,1.00246262550354,0.27119718657599556,0.28774364789326984
6,500,100,Montecarlo,Montecarlo,NA,100,Player 1,69,100.09882020950317,2.4184812740846113,2.2575289011001587,0.45184323062067444,0.5512174367904663
6,500,100,Montecarlo,Montecarlo,NA,100,Player 1,51,91.49331426620483,3.5578662432157078,2.6416043151508677,0.6046063899993896,0.6792272090911865
6,100,500,Montecarlo,Montecarlo,NA,500,Player 2,34,73.69513654708862,1.0515038967132568,0.4828026294708252,7.087635135650634,2.207731776767307
7,500,100,Montecarlo,Montecarlo,NA,100,Player 1,73,284.12175965309143,7.10280636378697,5.807044634452233,1.38161211543613,1.0393516620000203
7,500,100,Montecarlo,Montecarlo,NA,100,Player 1,56,240.57725262641907,9.201521158218384,5.658629369735718,1.5022204452090793,1.5223745505015056
