sizes,p1_difficult,p2_difficult,player_winner,total_plays,total_time,p1_medium_time_play,p1_medium_time_play_catch,p2_medium_time_play,p2_medium_time_play_catch
5,2,1,Player 1,31,6.848515748977661,0.7402370572090149,0.06903654336929321,0.03201835805719549,0.005291938781738281
5,2,1,Player 1,31,6.643458604812622,0.719500720500946,0.06687188148498535,0.030346957120028408,0.0045386552810668945
5,3,0,Player 1,29,7.774085283279419,1.0934745243617467,0.012287656466166178,0.0027941465377807617,no eat
5,3,2,Player 1,27,8.590754747390747,0.9036600192387899,0.04308567728315081,0.27993454933166506,0.026790261268615723
5,3,2,Player 1,27,8.811360836029053,0.9253722031911215,0.04468512535095215,0.2879762649536133,0.026910066604614258
5,2,1,Player 1,31,6.75576639175415,0.7358887791633606,0.06433576345443726,0.03049247915094549,0.004638195037841797
5,1,2,Player 2,28,4.7206902503967285,0.03707952499389648,0.003571589787801107,0.7821435928344727,0.05331152677536011
5,0,2,Player 1,43,8.532732248306274,0.002329042979649135,0.00044795870780944824,0.5103027671575546,0.06633954048156739
5,1,2,Player 2,28,4.6127769947052,0.03540899753570557,0.0034694671630859375,0.7716240882873535,0.04863971471786499
5,1,3,Player 2,24,7.174819231033325,0.0369962215423584,0.00626218318939209,1.4133533239364624,0.14236491918563843
5,0,3,Player 2,26,8.25406265258789,0.0030474185943603514,0.0005000829696655273,1.5498304843902588,0.06749003274100167
5,1,2,Player 2,28,4.540673494338989,0.03435873985290527,0.0034641424814860025,0.7570173740386963,0.050124675035476685
5,1,0,Player 2,28,0.25474095344543457,0.027632534503936768,0.002608696619669596,0.002150734265645345,0.0006405115127563477
5,0,3,Player 2,26,8.232125520706177,0.0027650833129882813,0.0004942417144775391,1.5474747657775878,0.0665874821799142
5,1,3,Player 2,24,6.884372711181641,0.03502388000488281,0.0053206682205200195,1.36575186252594,0.1323496401309967
5,1,2,Player 2,28,4.575537919998169,0.034761452674865724,0.0034532546997070312,0.763080358505249,0.05021631717681885
5,0,1,Player 1,29,0.20732426643371582,0.00264498165675572,0.00033334891001383465,0.0200350284576416,0.0015194416046142578
5,3,1,Player 1,27,15.706297874450684,2.3579547007878623,0.14709126949310303,0.029372270290668193,no eat
5,3,1,Player 1,27,15.68883752822876,2.3461392323176065,0.15352079272270203,0.029450196486253005,no eat
5,0,3,Player 2,26,8.365767002105713,0.002694869041442871,0.0010017156600952148,1.5733473300933838,0.06701108387538365
